section,residential
teamname,prokkam
commit used,4470060fe6df6f5e60d17c88b841ead3ccb79516
commit date,2021-09-17 23:58:19
test_question1_case1_points,10
test_question1_case1_status,passed
test_question1_case2_points,10
test_question1_case2_status,passed
test_question1_case3_points,10
test_question1_case3_status,passed
test_question1_case4_points,10
test_question1_case4_status,passed
test_question1_case5_points,10
test_question1_case5_status,passed
test_question2_case1_points,10
test_question2_case1_status,passed
test_question2_case2_points,10
test_question2_case2_status,passed
test_question2_case3_points,10
test_question2_case3_status,passed
test_question2_case4_points,10
test_question2_case4_status,passed
test_question2_case5_points,10
test_question2_case5_status,passed
Total,100
Late Penalty,0
Total Autograding,100
